Ejercicio,REGION,Código Entidad,Entidad,Código Departamento,Departamento,Código Clase,Clase,Código Sección,Sección,Código Grupo,Grupo,Código Recurso,Recurso,Asignado,Modificado,Vigente,Devengado,Percibido
2019,REGIÓN I METROPOLITANA,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10100,IMPUESTOS DIRECTOS,10140,IMPUESTOS MUNICIPALES,10141,SOBRE LA TENENCIA DE PATRIMONIO,532810000.00,17877000.00,550687000.00,512717509.58,512717509.58
2019,REGIÓN I METROPOLITANA,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10220,IMPUESTOS SOBRE PRODUCTOS INDUSTRIALES Y PRIMARIOS,10223,SOBRE DERIVADOS DEL PETRÓLEO,75000000.00,0.00,75000000.00,58098333.29,58098333.29
2019,REGIÓN I METROPOLITANA,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10220,IMPUESTOS SOBRE PRODUCTOS INDUSTRIALES Y PRIMARIOS,10224,REGALÍAS,1200000.00,180000.00,1380000.00,1001868.93,1001868.93
2019,REGIÓN I METROPOLITANA,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10282,SOBRE ESTABLECIMIENTOS DE SERVICIOS,57000.00,1000.00,58000.00,35370.00,35370.00
2019,REGIÓN I METROPOLITANA,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10284,SOBRE DIVERSIONES Y ESPECTÁCULOS,3078000.00,460000.00,3538000.00,2956961.41,2956961.41
2019,REGIÓN I METROPOLITANA,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10289,OTROS ARBITRIOS MUNICIPALES,43032000.00,0.00,43032000.00,36536105.94,36536105.94
2019,REGIÓN I METROPOLITANA,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11200,TASAS,11290,TASAS Y LICENCIAS VARIAS,11290,TASAS Y LICENCIAS VARIAS,348211000.00,-4317000.00,343894000.00,287421230.84,287421230.84
2019,REGIÓN I METROPOLITANA,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11300,CONTRIBUCIONES POR MEJORAS,11310,CONTRIBUCIONES POR MEJORAS,11310,CONTRIBUCIONES POR MEJORAS,2100000.00,0.00,2100000.00,640907.68,640907.68
2019,REGIÓN I METROPOLITANA,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11400,"ARRENDAMIENTO DE EDIFICIOS, EQUIPOS E INSTALACIONES",11410,DE EDIFICIOS Y VIVIENDAS,11410,DE EDIFICIOS Y VIVIENDAS,3570000.00,20000.00,3590000.00,2390550.40,2390550.40
2019,REGIÓN I METROPOLITANA,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11400,"ARRENDAMIENTO DE EDIFICIOS, EQUIPOS E INSTALACIONES",11490,OTROS ARRENDAMIENTOS,11490,OTROS ARRENDAMIENTOS,5850000.00,525000.00,6375000.00,4054278.04,4054278.04
2019,REGIÓN I METROPOLITANA,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11600,MULTAS,11610,ORIGINADAS POR INGRESOS NO TRIBUTARIOS,11610,ORIGINADAS POR INGRESOS NO TRIBUTARIOS,37618000.00,3505000.00,41123000.00,24606648.78,24606648.78
2019,REGIÓN I METROPOLITANA,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11700,INTERESES POR MORA,11710,ORIGINADOS POR INGRESOS NO TRIBUTARIOS,11710,ORIGINADOS POR INGRESOS NO TRIBUTARIOS,1877000.00,0.00,1877000.00,1374824.87,1374824.87
2019,REGIÓN I METROPOLITANA,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,13000,VTA. DE BIENES Y SERV. DE LA ADM. PÚBLICA,13200,VENTA DE SERVICIOS,13260,SERVICIOS ADMINISTRATIVOS MUNICIPALES,13260,SERVICIOS ADMINISTRATIVOS MUNICIPALES,103274000.00,27854750.00,131128750.00,105334267.49,105334267.49
2019,REGIÓN I METROPOLITANA,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,14000,INGRESOS DE OPERACION,14200,VENTA DE SERVICIOS,14240,SERVICIOS PÚBLICOS MUNICIPALES,14240,SERVICIOS PÚBLICOS MUNICIPALES,38810000.00,358000.00,39168000.00,27522932.61,27522932.61
